val,perc,sel_perc
465.79,2,2
457.1,4,4
451.75,6,6
446.92,8,8
442.54,10,10
438.73,12,12
435.37,14,14
432.39,16,16
429.72,18,18
427.31,20,20
425.11,22,22
423.09,24,24
421.2,26,26
419.43,28,28
417.75,30,30
416.16,32,32
414.64,34,34
413.18,36,36
411.78,38,38
410.42,40,40
409.12,42,42
407.86,44,44
406.63,46,46
405.44,48,48
404.28,50,50
403.14,52,52
402.02,54,54
400.92,56,56
399.83,58,58
398.76,60,60
397.69,62,62
396.63,64,64
395.58,66,66
394.52,68,68
393.47,70,70
392.41,72,72
391.35,74,74
390.29,76,76
389.22,78,78
388.13,80,80
387.03,82,82
385.92,84,84
384.78,86,86
383.61,88,88
382.42,90,90
381.19,92,92
379.92,94,94
378.57,96,96
377.11,98,98
375.4,100,100
