val,perc,sel_perc
8.05,2,2
8.01,4,4
7.97,6,6
7.94,8,8
7.91,10,10
7.88,12,12
7.86,14,14
7.84,16,16
7.82,18,18
7.81,20,20
7.79,22,22
7.78,24,24
7.76,26,26
7.75,28,28
7.74,30,30
7.73,32,32
7.72,34,34
7.71,36,36
7.7,38,38
7.69,40,40
7.68,42,42
7.67,44,44
7.67,46,46
7.66,48,48
7.65,50,50
7.64,52,52
7.64,54,54
7.63,56,56
7.62,58,58
7.61,60,60
7.61,62,62
7.6,64,64
7.59,66,66
7.58,68,68
7.58,70,70
7.57,72,72
7.56,74,74
7.55,76,76
7.55,78,78
7.54,80,80
7.53,82,82
7.52,84,84
7.51,86,86
7.51,88,88
7.5,90,90
7.49,92,92
7.48,94,94
7.47,96,96
7.46,98,98
7.44,100,100
